index,turn_id,speaker_id,duration_s,gemini_decision,gemma_12b_q6_decision,gemma_12b_q4_decision,gemma_e4b_q8_decision,gemma_e4b_q4_decision,gemini_reason,gemma_12b_q6_reason,gemma_12b_q4_reason,gemma_e4b_q8_reason,gemma_e4b_q4_reason,audio_path
11,turn_011_spk_02_43.75-46.72,spk_02,2.97,reject,error,pass,pass,pass,A second speaker speaks clearly in the latter half of the clip.,,"Single speaker with clear, complete word boundaries at both start and end.","The audio contains a single speaker, and both the start and end of the speech are acoustically complete.",The audio contains a single speaker with no background noise or secondary voices. Both the start and end of the speech are complete and natural.,data/experiment_khanhvy/cuts/turn_011_spk_02_43.75-46.72.wav
12,turn_012_spk_00_48.36-51.29,spk_00,2.93,pass,pass,pass,pass,pass,"The audio contains a single speaker throughout with clean, complete start and end acoustic boundaries and no secondary speaker intrusion.",Single speaker with complete word boundaries at start and end.,"Single speaker with clear, complete word boundaries at both start and end.","The audio contains a single speaker with no secondary intrusions. Speech starts and ends on complete, natural acoustic word boundaries.","The audio contains a single speaker with clear, complete word boundaries from start to finish, and no secondary vocal intrusions are present.",data/experiment_khanhvy/cuts/turn_012_spk_00_48.36-51.29.wav
13,turn_013_spk_00_52.71-53.94,spk_00,1.23,reject,pass,pass,pass,pass,The final syllable is abruptly cut off before its coda closure and vowel decay are complete.,Single speaker with complete word boundaries at both start and end.,Single speaker with clear phonetic onset and complete coda closure at the end.,The audio contains a single speaker and the speech starts and ends on complete acoustic word boundaries.,"The audio contains a single speaker with no background noise or secondary voices. Both the start and end of the speech are acoustically complete, adhering to natural word boundaries.",data/experiment_khanhvy/cuts/turn_013_spk_00_52.71-53.94.wav
14,turn_014_spk_00_59.87-74.94,spk_00,15.07,pass,error,pass,pass,pass,The speech is cleanly delivered by a single speaker with full phonetic word boundaries at both ends.,,Single speaker with clear word boundaries at both start and end.,"The audio contains a single speaker with no overlaps or tail intrusions. Speech starts and ends on complete, natural acoustic word boundaries.","The audio contains a single speaker with no overlapping speech or secondary vocal intrusions, including the final 500ms. Both the beginning and end of the speech occur on complete, natural acoustic word boundaries.",data/experiment_khanhvy/cuts/turn_014_spk_00_59.87-74.94.wav
15,turn_015_spk_02_80.51-84.50,spk_02,3.99,reject,pass,error,pass,pass,The final syllable is cut off abruptly before its full tone and acoustic energy decay naturally.,Single speaker with clear word boundaries at both start and end.,,"The audio contains a single speaker with no secondary intrusions. Speech starts and ends on complete, natural acoustic word boundaries.","The audio contains a single speaker with no overlap or tail intrusion. Both the start and end of the speech segment are on complete, natural word boundaries.",data/experiment_khanhvy/cuts/turn_015_spk_02_80.51-84.50.wav
16,turn_016_spk_02_87.24-88.96,spk_02,1.72,reject,pass,pass,pass,pass,The final syllable is abruptly cut off mid-vocalization before reaching natural acoustic decay.,Single speaker with complete word boundaries at both start and end.,Single speaker with complete phonetic boundaries at both start and end.,The audio contains a single speaker and the speech starts and ends on complete acoustic word boundaries.,"The audio contains a single speaker with no overlap or trailing vocal intrusions. Both the start and end of the speech occur on complete, natural word boundaries.",data/experiment_khanhvy/cuts/turn_016_spk_02_87.24-88.96.wav
17,turn_017_spk_00_99.36-101.73,spk_00,2.38,reject,pass,pass,pass,pass,"The initial word is cut off abruptly mid-syllable at the onset, and multiple background voices/laughter are audible throughout the clip.",Single speaker with clear start and end boundaries.,Single speaker with clear phonetic boundaries at both start and end.,"The audio contains a single speaker with no secondary intrusions. Speech starts and ends on complete, natural acoustic word boundaries.",The audio contains a single speaker with no overlaps or secondary voices. The speech starts with a full phonetic onset and ends with a complete word closure into natural silence.,data/experiment_khanhvy/cuts/turn_017_spk_00_99.36-101.73.wav
18,turn_018_spk_01_104.28-106.01,spk_01,1.73,reject,pass,pass,pass,reject,There is a prominent secondary speaker or background voice audible at the start of the audio clip.,Single speaker present with no tail intrusion; speech starts and ends on clear phonetic boundaries.,Single speaker with complete word boundaries at both start and end.,The audio contains a single speaker with clear acoustic word boundaries at both the start and the end.,"The audio is pure, but the final word is clipped at the end of the segment.",data/experiment_khanhvy/cuts/turn_018_spk_01_104.28-106.01.wav
19,turn_019_spk_02_107.94-109.57,spk_02,1.63,reject,pass,pass,pass,pass,There are two distinct speakers taking turns in this short recording.,Single speaker with complete word boundaries at start and end.,Single speaker throughout with no tail intrusions; speech starts and ends on complete word boundaries.,The audio contains a single speaker and the speech starts and ends on complete acoustic word boundaries.,Single speaker with no overlap or tail intrusion. Speech starts and ends on complete word boundaries.,data/experiment_khanhvy/cuts/turn_019_spk_02_107.94-109.57.wav
20,turn_020_spk_01_108.79-111.29,spk_01,2.51,reject,pass,pass,pass,pass,"There is overlapping speech between multiple speakers at the beginning, and the speech cuts off abruptly mid-vowel at the end.",Single speaker with clear word boundaries at both start and end.,Single speaker with complete word boundaries at start and end.,The audio contains a single speaker with no secondary voices or tail intrusions. Both the start and end of the speech are acoustically complete and natural.,"The audio contains a single speaker with no overlaps or secondary voices. The speech starts and ends on complete, natural acoustic word boundaries.",data/experiment_khanhvy/cuts/turn_020_spk_01_108.79-111.29.wav
21,turn_021_spk_01_113.12-114.25,spk_01,1.12,pass,pass,error,pass,pass,"The speech starts and ends cleanly with clear word boundaries, natural decay, and no secondary speaker or overlapping speech.","The audio features a single speaker with clear, complete phonetic boundaries at both the start and end of the clip.",,The audio contains a single speaker with clear acoustic word boundaries at the start and end.,"Single speaker is present, and both the start and end of the speech are acoustically complete.",data/experiment_khanhvy/cuts/turn_021_spk_01_113.12-114.25.wav
22,turn_022_spk_00_115.32-118.62,spk_00,3.31,reject,pass,error,pass,pass,Heavy background chatter and overlapping secondary voices are present throughout the recording.,"The audio features a single speaker with clear, complete word boundaries at both the start and end, with no tail intrusion or overlapping speech.",,"The audio contains a single speaker with no secondary intrusions. Speech starts and ends on complete, natural acoustic word boundaries.",The audio contains a single speaker with no secondary voices or tail intrusion. Both the start and end of the speech are acoustically complete.,data/experiment_khanhvy/cuts/turn_022_spk_00_115.32-118.62.wav
23,turn_023_spk_00_119.25-121.27,spk_00,2.01,pass,error,error,pass,pass,The utterance is produced by a single speaker with cleanly preserved acoustic boundaries at both onset and offset.,,,"The audio contains a single speaker with no secondary intrusions. Speech starts and ends on complete, natural acoustic word boundaries.","The audio contains a single speaker, and both the start and end of the speech are acoustically complete and natural.",data/experiment_khanhvy/cuts/turn_023_spk_00_119.25-121.27.wav
24,turn_024_spk_01_122.05-123.22,spk_01,1.17,pass,pass,pass,pass,pass,The audio contains a single speaker throughout with clear acoustic onset and natural ending fade without clipping.,"Single speaker with clear, complete word boundaries at both start and end.",Single speaker with clear word boundaries at both start and end.,"The audio contains a single speaker with no discernible background noise or secondary voices. The speech starts and ends on complete, natural acoustic word boundaries.",Single speaker with no overlap or trailing voices. Speech starts and ends on complete word boundaries.,data/experiment_khanhvy/cuts/turn_024_spk_01_122.05-123.22.wav
25,turn_025_spk_01_125.51-126.74,spk_01,1.23,reject,pass,pass,pass,pass,"Multiple speakers are audible with overlapping voices in the background, and the audio abruptly cuts off mid-syllable at the end.",Single speaker with clear phonetic onset and complete coda closure.,Single speaker with clear word boundaries at both start and end.,"The audio contains a single speaker with no secondary intrusions. Speech starts and ends on complete, natural acoustic word boundaries.","The audio contains a single speaker with no overlap or tail intrusion. Both the start and end of the speech are on complete, natural word boundaries.",data/experiment_khanhvy/cuts/turn_025_spk_01_125.51-126.74.wav
26,turn_026_spk_00_130.36-139.84,spk_00,9.48,pass,error,pass,pass,pass,"The recording contains a single female speaker throughout with clean, complete start and end boundaries.",,Single speaker with complete word boundaries at both start and end.,"The audio contains a single speaker with no secondary intrusions. Speech starts and ends on complete, natural acoustic word boundaries.",Single speaker throughout the clip with no secondary voices or tail intrusion. Both the start and end of the speech are acoustically complete.,data/experiment_khanhvy/cuts/turn_026_spk_00_130.36-139.84.wav
27,turn_027_spk_00_154.39-157.66,spk_00,3.27,reject,pass,pass,pass,pass,The final syllable is cut off abruptly before the vowel/coda completes naturally.,"Single speaker with clear, complete word boundaries at both start and end.",Single speaker with clear phonetic onset and full coda closure at both boundaries.,"The audio contains a single speaker, and the speech starts and ends on complete, natural acoustic word boundaries.","The audio features a single speaker with no overlap or tail intrusion. Both the start and end of the speech occur on complete, natural word boundaries.",data/experiment_khanhvy/cuts/turn_027_spk_00_154.39-157.66.wav
28,turn_028_spk_01_158.46-161.50,spk_01,3.05,reject,pass,pass,reject,reject,The final syllable is cut off abruptly while vocal fold vibration is still actively sustained.,"Single speaker with clear, complete word boundaries at both start and end.",Single speaker with clear word boundaries at both start and end.,"The speech starts naturally, but the final word is cut off abruptly before completing its tonal contour and coda closure.","The audio cuts off abruptly while the final word is still in flight, failing to complete its tonal contour and coda closure.",data/experiment_khanhvy/cuts/turn_028_spk_01_158.46-161.50.wav
29,turn_029_spk_01_163.21-164.51,spk_01,1.3,pass,pass,pass,pass,pass,The clip contains a single speaker with fully articulated onsets and endings without any acoustic clipping or intruding voices.,Single speaker with clear word boundaries at both start and end.,Single speaker with clear word boundaries at both start and end.,The audio contains a single speaker and the speech starts and ends on complete acoustic word boundaries.,Single speaker is present throughout. Both the start and end of the speech are acoustically complete with no clipped boundaries or secondary speaker intrusion.,data/experiment_khanhvy/cuts/turn_029_spk_01_163.21-164.51.wav
30,turn_030_spk_00_175.90-177.58,spk_00,1.68,pass,pass,pass,pass,pass,"The audio contains a single female speaker with clearly defined word boundaries at both the start and end of the segment, with no clipped speech or secondary speaker intrusion.","Single speaker with clear, complete word boundaries at both start and end.",Single speaker with clear phonetic onset and coda closure at both boundaries.,The audio contains a single speaker and the speech starts and ends on complete acoustic word boundaries.,"The audio contains a single speaker with complete word boundaries at the start and end, and no secondary vocal intrusions.",data/experiment_khanhvy/cuts/turn_030_spk_00_175.90-177.58.wav
31,turn_031_spk_02_178.18-180.00,spk_02,1.82,reject,pass,pass,pass,pass,The final word is cut off abruptly while vocalization and tone are still actively ongoing.,Single speaker with clear phonetic onset and complete coda closure.,"Single speaker with clear, complete word boundaries at both start and end.",The audio contains a single speaker and the speech starts and ends on complete acoustic word boundaries.,"The audio contains a single speaker, and both the start and end of the speech segment are acoustically complete and natural.",data/experiment_khanhvy/cuts/turn_031_spk_02_178.18-180.00.wav
